# energy,localization
1.865638866076383184e+00,-9.102166209782344142e-01
1.906149007413407537e+00,-9.107497623698362910e-01
1.908036222992398390e+00,-9.099336869413489071e-01
1.941127225363095565e+00,-9.108259677623886663e-01
1.942962524135984914e+00,-9.096333849838100782e-01
1.968479298919724174e+00,-9.108730298478259213e-01
1.970272988481927667e+00,-9.088164534494462821e-01
1.988095288207071931e+00,-9.109060410560941845e-01
1.989849585904041041e+00,-9.060492020571888627e-01
1.999896444814459828e+00,-9.109247302026638460e-01
2.001543871867332403e+00,-8.819976730001114484e-01
2.005862559218537289e+00,-8.430235832783814498e-01
-2.008065102486239706e+00,-9.604791602405379214e-01
-2.004708313789691942e+00,-9.098759037453946208e-01
-2.002866353013269762e+00,-9.258681560246494469e-01
-1.992961892164038629e+00,-9.098464042422861331e-01
-1.990776826259730292e+00,-9.152185146248071890e-01
-1.973439024794416241e+00,-9.097961017131309669e-01
-1.971119239802325618e+00,-9.122425516267228529e-01
-1.946221496030244857e+00,-9.097196408007840462e-01
-1.943814364773282621e+00,-9.110785561411633982e-01
-1.911423786845089623e+00,-9.096167866607064445e-01
-1.908935591370291895e+00,-9.104584104900328434e-01
-1.869193747494359403e+00,-9.097357283266538364e-01
-1.866617052796047949e+00,-9.101993896551929808e-01
-1.819719446011463182e+00,-9.093551901860529307e-01
-1.817024521372396118e+00,-9.097216463156225785e-01
-1.763194335972676496e+00,-9.093060681766172992e-01
-1.760384538717291170e+00,-9.093919570719715129e-01
-1.699890927728493484e+00,-9.098991688855621041e-01
-1.696932164467990223e+00,-9.091822324285186996e-01
-1.630103067221878588e+00,-9.059602289833923461e-01
-1.626950247051885734e+00,-9.078405612660549462e-01
-1.554261265581627249e+00,-9.059499951691628583e-01
-1.550733269400270009e+00,-9.069764511850176847e-01
-1.474427115694343815e+00,-9.024171606486990349e-01
-1.466457468078647519e+00,-9.080390824788378001e-01
-1.385375304602281643e+00,-9.051065657610011250e-01
-1.380799069126452450e+00,-9.061171614930059182e-01
-1.293547656841098181e+00,-9.034315656187530408e-01
-1.288559701253518375e+00,-9.041929756110413940e-01
-1.197877260998087445e+00,-9.005694759262155014e-01
-1.192082767140343114e+00,-9.014742782326602422e-01
-1.099726299919176142e+00,-8.947418558863795557e-01
-1.092627013981508632e+00,-8.943745146496872023e-01
-1.002065184552007215e+00,-8.839433207367650702e-01
-9.927764625750972183e-01,-8.817015546955960792e-01
-9.134255540576178278e-01,-8.628966602331685776e-01
-9.007955486302841042e-01,-8.483125720360832345e-01
-8.591292833286594544e-01,-8.739993269755190752e-01
-6.267445285746016115e-01,-8.314451024108513444e-01
-5.769790534720522501e-01,-8.516680546734103352e-01
-5.634330511084142401e-01,-8.763061557983869987e-01
-4.767860323567946756e-01,-8.954452913427735083e-01
-4.682491397093440644e-01,-8.991817118562355216e-01
-3.629785356555563225e-01,-9.059655221061535535e-01
-3.569707903720473197e-01,-9.076012682396104037e-01
-2.440981425504535063e-01,-9.095963577735528549e-01
-2.393454694931515803e-01,-9.110078749061903958e-01
-1.229221759582408147e-01,-9.109420557084009218e-01
-1.186729079128113346e-01,-9.130717798553396047e-01
-8.460756986754070863e-04,-8.585548462700918204e-01
3.366705785760305564e-03,-8.592538511384441025e-01
1.209994209896724932e-01,-9.120582589195511680e-01
1.256260783544259074e-01,-9.096918842498041835e-01
2.414242709251292474e-01,-9.106286764531132949e-01
2.470413764177021299e-01,-9.090732777142815912e-01
